"날짜","종가","시가","고가","저가","변동 %"
"2021- 05- 25","132.97","132.62","133.05","132.59","0.26%"
"2021- 05- 24","132.62","132.53","132.69","132.47","0.14%"
"2021- 05- 21","132.44","132.50","132.62","132.38","-0.03%"
"2021- 05- 20","132.48","132.09","132.53","132.03","0.34%"
"2021- 05- 19","132.03","132.39","132.58","131.94","-0.27%"
"2021- 05- 18","132.39","132.25","132.45","132.23","0.04%"
"2021- 05- 17","132.34","132.42","132.67","132.25","-0.05%"
"2021- 05- 14","132.41","132.22","132.53","132.19","0.17%"
"2021- 05- 13","132.19","131.92","132.31","131.84","0.20%"
"2021- 05- 12","131.92","132.45","132.56","131.88","-0.40%"
"2021- 05- 11","132.45","132.61","132.73","132.39","-0.12%"
"2021- 05- 10","132.61","132.70","132.95","132.56","-0.11%"
"2021- 05- 07","132.75","132.58","133.52","132.55","0.06%"
"2021- 05- 06","132.67","132.62","132.75","132.52","0.09%"
"2021- 05- 05","132.55","132.42","132.67","132.17","0.10%"
"2021- 05- 04","132.42","132.33","132.73","132.16","0.07%"
"2021- 05- 03","132.33","132.05","132.50","131.83","0.23%"
"2021- 04- 30","132.03","131.97","132.14","131.81","0.04%"
"2021- 04- 29","131.98","132.17","132.17","131.58","-0.08%"
"2021- 04- 28","132.09","132.02","132.20","131.72","0.05%"
"2021- 04- 27","132.03","132.36","132.39","131.95","-0.26%"
"2021- 04- 26","132.38","132.39","132.50","132.16","-0.05%"
"2021- 04- 23","132.44","132.64","132.73","132.31","-0.08%"
"2021- 04- 22","132.55","132.53","132.77","132.28","0.02%"
"2021- 04- 21","132.53","132.58","132.64","132.36","-0.02%"
"2021- 04- 20","132.56","132.20","132.61","131.98","0.25%"
"2021- 04- 19","132.23","132.34","132.56","132.05","-0.11%"
"2021- 04- 16","132.38","132.39","132.55","132.19","-0.21%"
"2021- 04- 15","132.66","131.91","132.69","131.83","0.56%"
"2021- 04- 14","131.92","132.11","132.19","131.78","-0.12%"
"2021- 04- 13","132.08","131.70","132.12","131.38","0.35%"
"2021- 04- 12","131.62","131.73","131.89","131.53","-0.08%"
"2021- 04- 09","131.73","132.05","132.08","131.47","-0.20%"
"2021- 04- 08","132.00","131.66","132.09","131.66","0.13%"
"2021- 04- 07","131.83","131.67","131.95","131.58","0.11%"
"2021- 04- 06","131.69","131.28","131.73","131.11","0.44%"
"2021- 04- 05","131.11","130.95","131.27","130.80","0.12%"
"2021- 04- 02","130.95","131.47","131.62","130.92","-0.36%"
