회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인/,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
유바이오로직스,206650,2017-01-24,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,한국투자증권(주),500,"6,000","19,200,000","경구용 콜레라 백신, 바이오의약품 수탁 연구 및 제조","24,231,986"
비디아이,148140,2017-01-16,신규상장,주권,특수 목적용 기계 제조업,대한민국,신영증권(주),500,-,-,"회처리, 회정제설비, 석탄,석회석 이송설비","4,160,000"
케미메디,205290,2017-01-13,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,한화투자증권(주),500,-,-,"천연물·합성 신약개발 및 건강식품 제조·판매 (모가득 어성초, 스피루리나 등)","7,503,162"
에스앤디,260970,2016-12-29,신규상장,주권,기타 식품 제조업,대한민국,유진투자증권(주),"5,000",-,-,그릴치킨농축액 외,"303,642"
오백볼트,227420,2016-12-28,신규상장,주권,회사 본부 및 경영 컨설팅 서비스업,대한민국,하나증권(주),500,-,-,"일반경영, 전략기획 자문 (엑셀러레이터, M&A)","7,113,628"
엔에이치스팩11호,256840,2016-12-28,신규상장,주권,금융 지원 서비스업,대한민국,엔에이치투자증권주식회사,100,"2,000","13,000,000",기업인수합병,"6,830,000"
전우정밀,120780,2016-12-23,신규상장,주권,자동차 신품 부품 제조업,대한민국,유안타증권(주),500,-,-,차량 도어부품 등,"3,100,000"
캐로스,260490,2016-12-23,신규상장,주권,일반 목적용 기계 제조업,대한민국,해당없음,500,-,-,"눈꽃빙수기, 온풍기, 정수기","1,636,000"
피엔아이시스템,242350,2016-12-22,신규상장,주권,"영화, 비디오물, 방송프로그램 제작 및 배급업",대한민국,신영증권(주),500,-,-,"3D 애니메이션, 3D VR 시뮬레이터 및 콘텐츠","3,791,320"
퓨전데이타,195440,2016-12-21,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,한국투자증권(주),500,"11,500","11,500,000",가상화솔루션 등,"3,030,000"
케이피에스,256940,2016-12-21,신규상장,주권,특수 목적용 기계 제조업,대한민국,키움증권(주),500,-,-,"OLED 메탈 마스크 인장기, 정밀 Stage 등","2,307,692"
오파스넷,173130,2016-12-20,신규상장,주권,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",대한민국,교보증권(주),500,-,-,네크워크 통합 장비 및 솔루션,"2,790,000"
패션플랫폼,256090,2016-12-20,신규상장,주권,봉제의복 제조업,대한민국,신영증권(주),500,-,-,"여성의류(레노마레이디, 보니스팍스)","4,346,000"
DSC인베스트먼트,241520,2016-12-19,신규상장,주권,신탁업 및 집합투자업,대한민국,키움증권(주),500,"1,700","7,427,184",투자조합 결성 및 투자,"17,500,000"
티에스인베스트먼트,246690,2016-12-15,신규상장,주권,신탁업 및 집합투자업,대한민국,한국투자증권(주),500,"1,300","7,410,000",투자조합 결성 및 투자,"22,421,004"
피시피아비아이티,258250,2016-12-13,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,SK증권(주),500,-,-,"C-Manager, LabBio+, S-Keeper","3,600,000"
마이크로프랜드,147760,2016-12-12,신규상장,주권,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대한민국,키움증권(주),500,"7,300","21,900,000",반도체 검사용 프로브카드,"10,641,366"
바이오프로테크,199290,2016-12-08,신규상장,주권,의료용 기기 제조업,대한민국,한화투자증권(주),500,-,-,심전도 측정용 전극 등,"2,476,134"
애니젠,196300,2016-12-07,신규상장,주권,기초 의약물질 및 생물학적 제제 제조업,대한민국,키움증권(주),500,"18,000","12,600,000",펩타이드 바이오소재 및 아미노산 펩타이드 신약,"4,734,831"
신라젠,215600,2016-12-06,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,"엔에이치투자증권주식회사,하나증권주식회사,DB금융투자주식회사",500,"15,000","150,000,000",펙사벡(바이러스 항암면역치료제),"61,616,527"
핸즈코퍼레이션,143210,2016-12-02,신규상장,주권,자동차 신품 부품 제조업,대한민국,케이비투자증권(주),500,"12,000","65,784,000",자동차 알루미늄 휠,"21,646,800"
IBKS제5호스팩,254120,2016-12-02,신규상장,주권,금융 지원 서비스업,대한민국,IBK투자증권(주),100,"2,000","8,000,000",기업인수합병,"4,500,000"
오션브릿지,241790,2016-12-01,신규상장,주권,기타 화학제품 제조업,대한민국,대신증권(주),500,"6,600","14,949,000","반도체 케미칼(HCDS, Ticl4 외), 반도체 장비","8,622,720"
뉴파워프라즈마,144960,2016-11-30,신규상장,주권,특수 목적용 기계 제조업,대한민국,키움증권(주),500,"17,500","29,750,000",플라즈마 세정기(Remote Plasma Cleaning Generator),"7,903,379"
시큐센,232830,2016-11-29,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,신한투자증권(주),500,-,-,"모바일보안 및 보안 SI서비스, 생체인식기반의 바이오인증","1,280,000"
스템랩,258540,2016-11-29,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,KB증권(주),500,-,-,전자의료기기 등,"1,366,050"
나무기술,167380,2016-11-28,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,교보증권(주),500,-,-,"소프트웨어 개발,공급","2,312,300"
에이치엔티,176440,2016-11-28,신규상장,주권,전자부품 제조업,대한민국,키움증권(주),500,"10,000","13,500,000",휴대폰 카메라 모듈,"6,701,100"
두산밥캣,241560,2016-11-18,신규상장,주권,회사 본부 및 경영 컨설팅 서비스업,대한민국,"한국투자증권(주),CS증권 서울지점,홍콩상하이증권 서울지점,제이피모간증권회사 서울지점,한화투자증권(주),신영증권(주)",500,"30,000","900,845,400","Compact Equipment, Heavy Equipment, Portable Power","100,249,166"
비플라이소프트,148780,2016-11-16,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,아이비케이투자증권(주),500,-,-,"아이서퍼, e-NIE, 파오인 등","949,144"
SK3호스팩,232330,2016-11-16,신규상장,주권,금융 지원 서비스업,대한민국,SK증권(주),100,"2,000","6,600,000",기업인수합병,"3,600,000"
수젠텍,253840,2016-11-11,신규상장,주권,의료용품 및 기타 의약 관련제품 제조업,대한민국,한국투자증권(주),500,-,-,체외진단용 제품,"2,098,729"
삼성바이오로직스,207940,2016-11-10,신규상장,주권,기초 의약물질 및 생물학적 제제 제조업,대한민국,"한국투자증권(주),씨티그룹글로벌마켓증권(주)","2,500","136,000","2,249,617,072",바이오의약품,"66,165,000"
클리오,237880,2016-11-09,신규상장,주권,기타 화학제품 제조업,대한민국,엔에이치투자증권주식회사,500,"41,000","184,401,600","색조화장품, 기초화장품","16,873,215"
오가닉티코스메틱,900300,2016-11-04,신규상장,외국주권,회사 본부 및 경영 컨설팅 서비스업,홍콩,유진투자증권(주),무액면,"4,000","57,200,000","유아용 화장품(클렌징, 여름용, 피부케어, 기능성 화장품)","56,925,000"
로고스바이오,238120,2016-11-03,신규상장,주권,사진장비 및 광학기기 제조업,대한민국,신한투자증권 주식회사,500,"25,500","18,056,448","자동세포카운팅시스템, 생체조직투명화시스템, 디지털세포이미징시스템","3,561,724"
IBKS지엠비스팩,252500,2016-11-02,신규상장,주권,금융 지원 서비스업,대한민국,IBK투자증권(주),100,"2,000","10,000,000",기업인수 및 합병,"5,315,000"
인크로스,216050,2016-10-31,신규상장,주권,광고업,대한민국,신한투자증권 주식회사,500,"43,000","20,274,500",미디어렙서비스,"2,939,035"
굿센,243870,2016-10-31,신규상장,주권,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",대한민국,신한투자증권(주),500,-,-,"건설ERP, 공공클라우드","1,345,951"
에이치엘사이언스,239610,2016-10-28,신규상장,주권,기타 식품 제조업,대한민국,"미래에셋증권 주식회사,케이비투자증권(주)",500,"27,000","40,800,375",건강기능식품 등,"5,142,148"
코스메카코리아,241710,2016-10-28,신규상장,주권,기타 화학제품 제조업,대한민국,삼성증권(주),500,"54,000","72,360,000","화장품 OEM, ODM","5,340,000"
JW생명과학,234080,2016-10-27,신규상장,주권,의약품 제조업,대한민국,케이비투자증권(주),"5,000","30,000","72,000,000","기초수액, TPN, 특수수액, HEMO, 영양수액 등","7,917,277"
안지오랩,251280,2016-10-25,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,대신증권(주),500,-,-,신약개발 및 체지방 감소 건강기능식품,"1,805,914"
GRT,900290,2016-10-25,신규상장,외국주권,회사 본부 및 경영 컨설팅 서비스업,홍콩,엔에이치투자증권주식회사,무액면,"5,000","86,875,000","광학필름, 포장필름","67,375,000"
