시장구분,회사명,신고서제출일,수요예측일정,청약일정,납입일,확정공모가,공모금액(백만원),상장예정일,상장주선인/
,,,~ 2003-07-09,~ 2003-07-16,,,,,
코스닥 상장추진,유아이디,2003-06-16,   2003-07-22,   2003-08-04,2003-08-11,"7,200","10,512",2003-08-18,교보증권(주)
,,,~ 2003-07-22,~ 2003-08-05,,,,,
코스닥 상장추진,케이엔씨글로벌,2003-06-13,   2003-07-03,   2003-07-09,2003-07-14,"7,500","6,225",2003-07-21,한국투자증권(주)
,,,~ 2003-07-03,~ 2003-07-10,,,,,
코스닥 상장추진,파워로직스,2003-06-09,   2003-07-09,   2003-07-15,2003-07-22,"8,500","13,600",2003-07-25,한화투자증권(주)
,,,~ 2003-07-09,~ 2003-07-16,,,,,
코스닥 상장추진,모델라인,2003-05-30,   2003-06-17,   2003-06-25,2003-07-01,"1,300","2,925",2003-07-04,미래에셋증권(주)
,,,~ 2003-06-17,~ 2003-06-26,,,,,
코스닥 상장추진,에너윈,2003-05-27,   2003-07-11,   2003-07-21,2003-07-28,"2,300","3,910",2003-08-01,한화투자증권(주)
,,,~ 2003-07-11,~ 2003-07-22,,,,,
코스닥 상장추진,쿨투,2003-05-26,   2003-06-12,   2003-06-19,2003-06-27,"4,300","3,668",2003-07-04,굿모닝2
,,,~ 2003-06-12,~ 2003-06-20,,,,,
코스닥 상장추진,코원플레이,2003-05-26,-,   2003-07-02,2003-07-08,"6,500","7,410",2003-07-11,유안타증권(주)
,,,,~ 2003-07-03,,,,,
코스닥 상장추진,이라이콤,2003-05-23,   2003-06-12,   2003-06-24,2003-07-01,"2,200","4,950",2003-07-04,유안타증권(주)
,,,~ 2003-06-12,~ 2003-06-25,,,,,
코스닥 상장추진,엔터미디어,2003-05-20,   2003-06-17,   2003-06-23,2003-06-27,"12,000","13,200",2003-07-01,엔에이치투자증권주식회사
,,,~ 2003-06-17,~ 2003-06-24,,,,,
코스닥 상장추진,녹원씨엔아이,2003-05-20,   2003-06-12,   2003-06-23,2003-06-27,"2,800","2,520",2003-07-01,한국투자증권(주)
,,,~ 2003-06-12,~ 2003-06-24,,,,,
코스닥 상장추진,유퍼트,2003-05-02,   2003-05-21,   2003-06-03,2003-06-11,"1,200","2,160",2003-06-17,교보증권(주)
,,,~ 2003-05-21,~ 2003-06-04,,,,,
코스닥 상장추진,이노블루,2003-04-28,   2003-05-20,   2003-05-29,2003-06-05,"4,000","5,060",2003-06-11,교보증권(주)
,,,~ 2003-05-20,~ 2003-05-30,,,,,
코스닥 상장추진,홈캐스트,2003-04-25,   2003-05-15,   2003-05-27,2003-06-03,"5,100","8,789",2003-06-11,유안타증권(주)
,,,~ 2003-05-15,~ 2003-05-28,,,,,
코스닥 상장추진,케너텍,2003-04-11,   2003-04-30,   2003-05-13,2003-05-20,"3,000","2,700",2003-05-23,한화투자증권(주)
,,,~ 2003-04-30,~ 2003-05-14,,,,,
코스닥 상장추진,웹젠,2003-04-11,   2003-04-30,   2003-05-14,2003-05-20,"32,000","30,720",2003-05-23,미래에셋증권(주)
,,,~ 2003-04-30,~ 2003-05-15,,,,,
코스닥 상장추진,씨씨에스,2003-04-09,   2003-05-07,   2003-05-19,2003-05-26,"6,300","8,820",2003-05-30,키움증권(주)
,,,~ 2003-05-07,~ 2003-05-20,,,,,
코스닥 상장추진,UC아이콜스,2003-02-12,-,   2003-01-22,2003-01-29,"1,900","6,460",2003-02-12,아이엠투자증권(주)
,,,,~ 2003-01-23,,,,,
코스닥 상장추진,국제엘렉트릭,2003-02-05,   2003-03-05,   2003-03-12,2003-03-18,"3,000","6,630",2003-03-21,유안타증권(주)
,,,~ 2003-03-05,~ 2003-03-13,,,,,
코스닥 상장추진,SBS콘텐츠허브,2002-12-23,   2003-01-15,   2003-01-23,2003-01-29,"4,200","13,734",2003-02-05,한국투자증권(주)
,,,~ 2003-01-15,~ 2003-01-24,,,,,
코스닥 상장추진,포넷,2002-12-18,   2003-01-07,   2003-01-15,2003-01-21,"2,100","6,878",2003-01-24,미래에셋증권 주식회사
,,,~ 2003-01-07,~ 2003-01-16,,,,,
코스닥 상장추진,대화제약,2002-12-17,   2003-01-20,   2003-02-04,2003-02-10,"1,700","5,542",2003-02-14,한화투자증권(주)
,,,~ 2003-01-20,~ 2003-02-05,,,,,
코스닥 상장추진,우수AMS,2002-12-16,   2003-01-17,   2003-01-27,2003-02-03,"2,200","2,266",2003-02-12,유안타증권(주)
,,,~ 2003-01-17,~ 2003-01-28,,,,,
코스닥 상장추진,에스디,2002-12-16,   2003-01-07,   2003-01-16,2003-01-22,"3,700","5,195",2003-01-24,KB증권(주)
,,,~ 2003-01-07,~ 2003-01-17,,,,,
코스닥 상장추진,JW신약,2002-12-16,   2003-01-15,   2003-01-22,2003-01-28,"4,900","6,860",2003-02-11,키움증권(주)
,,,~ 2003-01-15,~ 2003-01-23,,,,,
코스닥 상장추진,케이에스알,2002-12-12,   2003-01-06,   2003-01-13,2003-01-20,"6,600","8,712",2003-02-07,푸르덴셜
,,,~ 2003-01-06,~ 2003-01-14,,,,,
코스닥 상장추진,제너비오믹스,2002-12-12,   2003-01-08,   2003-01-16,2003-01-22,"2,300","3,046",2003-01-28,하나증권주식회사
,,,~ 2003-01-08,~ 2003-01-17,,,,,
코스닥 상장추진,인터플렉스,2002-12-12,   2002-12-18,   2003-01-13,2003-01-17,"3,000","11,100",2003-01-22,대신증권(주)
,,,~ 2002-12-18,~ 2003-01-14,,,,,
코스닥 상장추진,탑엔지니어링,2002-12-10,   2003-01-14,   2003-01-20,2003-01-24,"2,700","7,128",2003-01-29,미래에셋증권 주식회사
,,,~ 2003-01-14,~ 2003-01-21,,,,,
코스닥 상장추진,빅텍,2002-12-10,   2003-01-15,   2003-01-22,2003-01-29,"1,800","2,520",2003-02-05,미래에셋증권(주)
,,,~ 2003-01-15,~ 2003-01-23,,,,,
코스닥 상장추진,팬텀엔터그룹,2002-12-09,   2003-01-13,   2003-01-20,2003-01-24,"8,700","4,002",2003-01-29,엔에이치투자증권주식회사
,,,~ 2003-01-13,~ 2003-01-21,,,,,
코스닥 상장추진,KCW,2002-12-09,   2003-01-06,   2003-01-16,2003-01-23,"2,000","3,280",2003-01-28,교보증권(주)
,,,~ 2003-01-06,~ 2003-01-17,,,,,
코스닥 상장추진,삼영이엔씨,2002-12-05,   2002-12-26,   2003-01-09,2003-01-15,"3,300","7,920",2003-01-21,한국투자증권(주)
,,,~ 2002-12-26,~ 2003-01-10,,,,,
코스닥 상장추진,리더스코스메틱,2002-12-04,   2002-12-11,   2003-01-07,2003-01-13,"1,100","1,276",2003-01-15,한양증권(주)
,,,~ 2002-12-11,~ 2003-01-08,,,,,
코스닥 상장추진,티에스엠텍,2002-12-03,   2002-12-27,   2003-01-09,2003-01-15,"2,700","4,933",2003-01-21,한화투자증권(주)
,,,~ 2002-12-27,~ 2003-01-10,,,,,
코스닥 상장추진,이엔코퍼레이션,2002-12-02,   2002-12-27,   2003-01-08,2003-01-14,"3,800","4,218",2003-01-17,엔에이치투자증권주식회사
,,,~ 2002-12-27,~ 2003-01-09,,,,,
코스닥 상장추진,이루온,2002-11-30,   2003-01-07,   2003-01-16,2003-01-22,"3,700","4,921",2003-01-28,키움증권(주)
,,,~ 2003-01-07,~ 2003-01-17,,,,,
코스닥 상장추진,재영솔루텍,2002-11-29,   2003-01-08,   2003-01-15,2003-01-21,"2,500","13,180",2003-01-24,엔에이치투자증권주식회사
,,,~ 2003-01-08,~ 2003-01-16,,,,,
코스닥 상장추진,메디프론,2002-11-29,   2002-12-23,   2003-01-07,2003-01-15,"2,100","1,638",2003-01-21,교보증권(주)
,,,~ 2002-12-23,~ 2003-01-08,,,,,
코스닥 상장추진,서울반도체,2002-11-26,   2001-12-18,   2001-12-26,2002-01-04,"3,500","12,000",2002-01-17,메리츠증권(주)
,,,~ 2001-12-18,~ 2001-12-27,,,,,
코스닥 상장추진,PW제네틱스,2002-11-22,   2002-12-18,   2002-12-26,2003-01-03,"2,000","2,660",2003-01-10,한국투자증권(주)
,,,~ 2002-12-18,~ 2002-12-27,,,,,
코스닥 상장추진,지앤디윈텍,2002-11-18,   2002-12-09,   2002-12-17,2002-12-24,"2,600","7,800",2003-01-06,현대차증권주식회사
,,,~ 2002-12-09,~ 2002-12-18,,,,,
코스닥 상장추진,엘앤에프,2002-11-15,   2002-12-09,   2002-12-17,2002-12-26,"2,200","3,850",2003-01-02,엔에이치투자증권주식회사
,,,~ 2002-12-09,~ 2002-12-18,,,,,
코스닥 상장추진,와이오엠,2002-11-14,   2002-12-04,   2002-12-12,2002-12-18,"3,400","7,480",2002-12-24,한국투자증권(주)
,,,~ 2002-12-04,~ 2002-12-13,,,,,
코스닥 상장추진,디스플레이텍,2002-11-13,-,   2002-12-17,2002-12-24,"4,000","6,600",2002-12-30,유안타증권(주)
,,,,~ 2002-12-18,,,,,
코스닥 상장추진,초록뱀미디어,2002-11-11,   2002-12-03,   2002-12-11,2002-12-18,"1,400","1,820",2002-12-24,엔에이치투자증권주식회사
,,,~ 2002-12-03,~ 2002-12-12,,,,,
코스닥 상장추진,케이피엠테크,2002-11-07,   2002-12-03,   2002-12-11,2002-12-18,"2,200","5,280",2003-01-07,아이엠투자증권(주)
,,,~ 2002-12-03,~ 2002-12-12,,,,,
코스닥 상장추진,웨스트라이즈,2002-11-07,   2002-11-28,   2002-12-05,2002-12-11,"3,400","4,335",2002-12-17,유안타증권(주)
,,,~ 2002-11-28,~ 2002-12-06,,,,,
코스닥 상장추진,NE능률,2002-10-31,   2002-11-13,   2002-11-26,2002-12-03,"2,200","3,112",2002-12-10,엔에이치투자증권주식회사
,,,~ 2002-11-13,~ 2002-11-27,,,,,
코스닥 상장추진,프리젠,2002-10-25,   2002-11-20,   2002-12-03,2002-12-10,"1,800","5,562",2002-12-13,엔에이치투자증권주식회사
,,,~ 2002-11-20,~ 2002-12-04,,,,,
코스닥 상장추진,테크엘,2002-10-25,   2002-11-13,   2002-11-25,2002-11-29,"1,800","2,090",2002-12-04,한국투자증권(주)
,,,~ 2002-11-13,~ 2002-11-26,,,,,
코스닥 상장추진,하이스마텍,2002-10-08,   2002-10-31,   2002-11-06,2002-11-13,"3,500","4,970",2002-11-15,미래에셋증권(주)
,,,~ 2002-10-31,~ 2002-11-07,,,,,
코스닥 상장추진,파라다이스,2002-09-25,   2002-10-17,   2002-10-24,2002-10-30,"4,100","76,834",2002-11-05,미래에셋증권 주식회사
,,,~ 2002-10-17,~ 2002-10-25,,,,,
코스닥 상장추진,휘튼,2002-09-17,   2002-10-10,   2002-10-17,2002-10-25,"2,400","2,400",2002-11-05,KB증권(주)
,,,~ 2002-10-10,~ 2002-10-18,,,,,
코스닥 상장추진,NAVER,2002-09-17,   2002-10-14,   2002-10-21,2002-10-25,"22,000","45,342",2002-10-29,미래에셋증권 주식회사
,,,~ 2002-10-14,~ 2002-10-22,,,,,
코스닥 상장추진,CU전자,2002-09-17,   2002-10-10,   2002-10-21,2002-10-28,"4,000","5,760",2002-11-08,한국투자증권(주)
,,,~ 2002-10-10,~ 2002-10-22,,,,,
코스닥 상장추진,비엘팜텍,2002-09-02,   2002-10-29,   2002-11-07,2002-11-13,"4,900","8,428",2002-11-19,엔에이치투자증권주식회사
,,,~ 2002-10-29,~ 2002-11-08,,,,,
코스닥 상장추진,폴리플러스,2002-08-29,   2002-11-22,   2002-11-28,2002-12-04,"1,600","4,800",2002-12-06,푸르덴셜
,,,~ 2002-11-22,~ 2002-11-29,,,,,
코스닥 상장추진,디브이에스,2002-08-15,   2002-09-06,   2002-09-12,2002-09-18,"2,500","15,000",2002-10-01,한국투자증권(주)
,,,~ 2002-09-06,~ 2002-09-13,,,,,
코스닥 상장추진,쓰리디월드,2002-07-30,   2002-08-20,   2002-08-29,2002-09-06,"7,200","10,528",2002-09-26,교보증권(주)
,,,~ 2002-08-20,~ 2002-08-30,,,,,
코스닥 상장추진,샤인시스템,2002-07-30,   2002-08-22,   2002-09-03,2002-09-12,"8,500","9,350",2002-09-25,유안타증권(주)
,,,~ 2002-08-22,~ 2002-09-04,,,,,
코스닥 상장추진,새로닉스,2002-07-30,   2002-08-23,   2002-09-03,2002-09-13,"1,500","5,400",2002-10-01,브릿지1
,,,~ 2002-08-23,~ 2002-09-04,,,,,
코스닥 상장추진,국보디자인,2002-07-30,   2002-08-08,   2002-08-13,2002-08-22,"5,000","9,000",2002-09-05,엔에이치투자증권(주)(농협)
,,,~ 2002-08-08,~ 2002-08-14,,,,,
코스닥 상장추진,바이오빌,2002-07-29,   2002-12-17,   2002-12-26,2003-01-03,"3,100","6,200",2003-01-07,현대차증권주식회사
,,,~ 2002-12-17,~ 2002-12-27,,,,,
코스닥 상장추진,서울리거,2002-07-02,   2002-05-27,   2002-06-17,2002-06-26,"1,400","3,360",2002-07-11,KB증권(주)
,,,~ 2002-05-27,~ 2002-06-18,,,,,
코스닥 상장추진,젬백스링크,2002-06-28,   2002-07-19,   2002-07-30,2002-08-09,"5,500","7,556",2002-08-22,교보증권(주)
,,,~ 2002-07-19,~ 2002-07-31,,,,,
코스닥 상장추진,아이톡시,2002-06-21,   2002-07-11,   2002-07-30,2002-08-09,"8,000","5,248",2002-08-22,한화투자증권(주)
,,,~ 2002-07-11,~ 2002-07-31,,,,,
코스닥 상장추진,현대바이오,2002-06-14,   2002-07-04,   2002-07-15,2002-07-26,"2,900","37,294",2002-08-08,한화투자증권(주)
,,,~ 2002-07-04,~ 2002-07-16,,,,,
코스닥 상장추진,플렉스컴,2002-06-14,   2002-09-26,   2002-10-08,2002-10-15,"5,150","6,180",2002-10-23,대신증권(주)
,,,~ 2002-09-26,~ 2002-10-09,,,,,
코스닥 상장추진,사이노젠,2002-06-11,   2002-07-02,   2002-07-09,2002-07-19,"2,500","4,500",2002-07-30,하나증권주식회사
,,,~ 2002-07-02,~ 2002-07-10,,,,,
코스닥 상장추진,지엔텍홀딩스,2002-06-10,   2002-06-28,   2002-07-10,2002-07-19,"1,600","2,752",2002-08-01,유진투자증권(주)
,,,~ 2002-06-28,~ 2002-07-11,,,,,
코스닥 상장추진,에스아이리소스,2002-06-10,   2002-07-03,   2002-07-15,2002-07-24,"2,150","2,795",2002-08-22,엔에이치투자증권주식회사
,,,~ 2002-07-03,~ 2002-07-16,,,,,
코스닥 상장추진,신세계푸드,2002-06-07,   2001-06-26,   2001-07-09,2001-07-20,"12,300","12,652",2001-07-31,한국투자증권(주)
,,,~ 2001-06-26,~ 2001-07-10,,,,,
코스닥 상장추진,더체인지,2002-06-07,   2002-05-14,   2002-05-23,2002-06-04,"2,100","3,822",2002-06-18,현대차증권주식회사
,,,~ 2002-05-14,~ 2002-05-24,,,,,
코스닥 상장추진,소니드,2002-06-03,   2002-05-28,   2002-06-05,2002-06-15,"4,500","6,978",2002-06-25,한국투자증권(주)
,,,~ 2002-05-28,~ 2002-06-07,,,,,
코스닥 상장추진,에스피지,2002-06-01,   2002-06-12,   2002-06-24,2002-07-09,"8,000","13,440",2002-07-23,엔에이치투자증권주식회사
,,,~ 2002-06-12,~ 2002-06-25,,,,,
코스닥 상장추진,토탈소프트,2002-05-30,   2002-06-20,   2002-07-02,2002-07-11,"9,200","11,960",2002-07-19,유안타증권(주)
,,,~ 2002-06-20,~ 2002-07-03,,,,,
코스닥 상장추진,올리브나인,2002-05-30,   2002-06-18,   2002-06-27,2002-07-05,"4,200","7,136",2002-07-16,KB증권(주)
,,,~ 2002-06-18,~ 2002-06-28,,,,,
코스닥 상장추진,서호전기,2002-05-29,   2002-06-19,   2002-06-25,2002-07-05,"3,200","4,960",2002-07-16,메리츠증권(주)
,,,~ 2002-06-19,~ 2002-06-26,,,,,
코스닥 상장추진,엘케이엔씨,2002-05-27,   2002-06-18,   2002-06-27,2002-07-05,"3,100","6,820",2002-07-19,키움증권(주)
,,,~ 2002-06-18,~ 2002-06-28,,,,,
코스닥 상장추진,삼호개발,2002-05-27,   2002-06-17,   2002-06-25,2002-07-04,950,"4,085",2002-07-16,DB금융투자주식회사
,,,~ 2002-06-17,~ 2002-06-26,,,,,
코스닥 상장추진,블루스톤,2002-05-25,   2000-05-29,   2000-06-07,2002-06-16,"11,000","16,500",2000-06-27,미래에셋증권 주식회사
,,,~ 2000-05-29,~ 2000-06-08,,,,,
코스닥 상장추진,홈센타홀딩스,2002-05-24,   2002-06-27,   2002-06-18,2002-07-02,"2,000","4,400",2002-07-11,키움증권(주)
,,,~ 2002-06-27,~ 2002-06-19,,,,,
코스닥 상장추진,아이팩토리,2002-05-24,   2002-06-12,   2002-06-25,2002-07-04,"3,800","5,320",2002-07-19,KB증권(주)
,,,~ 2002-06-12,~ 2002-06-26,,,,,
코스닥 상장추진,파커스,2002-05-17,   2002-06-05,   2002-06-17,2002-06-26,"8,700","11,832",2002-07-16,아이엠투자증권(주)
,,,~ 2002-06-05,~ 2002-06-18,,,,,
코스닥 상장추진,한프,2002-05-13,   2002-06-05,   2002-06-17,2002-06-26,"4,000","17,200",2002-07-16,교보증권(주)
,,,~ 2002-06-05,~ 2002-06-18,,,,,
코스닥 상장추진,네오리소스,2002-04-29,   2002-04-09,   2002-04-17,2002-04-26,"5,500","6,237",2002-05-07,하나증권주식회사
,,,~ 2002-04-09,~ 2002-04-18,,,,,
코스닥 상장추진,제낙스,2002-04-26,   2002-05-16,   2002-05-28,2002-06-10,"1,900","6,650",2002-06-27,엔에이치투자증권(주)(농협)
,,,~ 2002-05-16,~ 2002-05-29,,,,,
코스닥 상장추진,티사이언티픽,2002-04-22,   2002-05-16,   2002-05-29,2002-06-07,"5,500","8,575",2002-06-18,한국투자증권(주)
,,,~ 2002-05-16,~ 2002-05-30,,,,,
코스닥 상장추진,우원개발,2002-04-19,   2002-05-09,   2002-05-15,2002-05-27,"7,500","13,500",2002-06-18,아이엠투자증권(주)
,,,~ 2002-05-09,~ 2002-05-16,,,,,
코스닥 상장추진,와이어블,2002-04-18,   2002-05-08,   2002-05-15,2002-05-24,"7,200","11,520",2002-06-04,미래에셋증권 주식회사
,,,~ 2002-05-08,~ 2002-05-16,,,,,
코스닥 상장추진,인선이엔티,2002-04-15,   2002-05-07,   2002-05-21,2002-05-30,"8,500","11,900",2002-06-14,DB금융투자주식회사
,,,~ 2002-05-07,~ 2002-05-22,,,,,
코스닥 상장추진,SM Life Design,2002-04-13,   2002-05-03,   2002-05-13,2002-05-21,"3,700","11,914",2002-05-30,KB증권(주)
,,,~ 2002-05-03,~ 2002-05-14,,,,,
코스닥 상장추진,큐렉소,2002-04-12,   2002-05-22,   2002-06-04,2002-06-15,"5,700","7,980",2002-07-03,키움증권(주)
,,,~ 2002-05-22,~ 2002-06-05,,,,,
코스닥 상장추진,슈마,2002-04-12,   2002-04-30,   2002-05-14,2002-05-22,"2,400","2,400",2002-06-04,DB금융투자주식회사
,,,~ 2002-04-30,~ 2002-05-15,,,,,
코스닥 상장추진,미디어코프,2002-04-11,   2002-04-03,   2002-04-16,2002-04-25,"4,800","16,320",2002-05-07,신한투자증권 주식회사
,,,~ 2002-04-03,~ 2002-04-17,,,,,
코스닥 상장추진,오브제,2002-04-03,   2002-05-07,   2002-05-16,2002-05-28,"10,700","9,630",2002-06-11,신영증권(주)
,,,~ 2002-05-07,~ 2002-05-17,,,,,
코스닥 상장추진,지어소프트,2002-04-02,   2002-04-23,   2002-05-06,2002-05-14,"4,900","4,694",2002-05-28,교보증권(주)
,,,~ 2002-04-23,~ 2002-05-07,,,,,
코스닥 상장추진,KH바텍,2002-03-28,   2002-04-16,   2002-04-24,2002-05-07,"24,000","28,800",2002-05-21,교보증권(주)
,,,~ 2002-04-16,~ 2002-04-25,,,,,
코스닥 상장추진,알에프텍,2002-03-27,   2002-04-16,   2002-04-25,2002-05-07,"4,800","7,680",2002-05-16,엔에이치투자증권주식회사
,,,~ 2002-04-16,~ 2002-04-26,,,,,
코스닥 상장추진,베스트플로우,2002-03-15,   2002-04-03,   2002-04-15,2002-04-25,"2,500","4,300",2002-05-07,하나증권주식회사
,,,~ 2002-04-03,~ 2002-04-16,,,,,
코스닥 상장추진,한진피앤씨,2002-03-14,   2002-03-15,   2002-03-21,2002-03-29,"3,100","15,786",2002-04-11,굿모닝2
,,,~ 2002-03-15,~ 2002-03-22,,,,,
코스닥 상장추진,오상자이엘,2002-03-11,   2002-03-11,   2002-03-19,2002-03-29,"3,900","6,240",2002-04-09,미래에셋증권 주식회사
,,,~ 2002-03-11,~ 2002-03-20,,,,,
코스닥 상장추진,3S,2002-03-04,   2002-03-21,   2002-03-28,2002-04-09,"3,800","3,002",2002-04-23,신영증권(주)
,,,~ 2002-03-21,~ 2002-03-29,,,,,
코스닥 상장추진,어울림정보,2002-02-28,   2002-03-20,   2002-04-01,2002-04-12,"7,000","7,700",2002-04-23,미래에셋증권(주)
,,,~ 2002-03-20,~ 2002-04-02,,,,,
코스닥 상장추진,CT&T,2002-02-28,   2002-03-20,   2002-04-01,2002-04-12,"2,500","4,150",2002-04-23,미래에셋증권(주)
,,,~ 2002-03-20,~ 2002-04-02,,,,,
코스닥 상장추진,제이콤,2002-02-22,   2002-03-11,   2002-03-21,2002-03-29,"3,000","7,080",2002-04-11,키움증권(주)
,,,~ 2002-03-11,~ 2002-03-22,,,,,
코스닥 상장추진,화일약품,2002-02-20,   2002-03-26,   2002-04-02,2002-04-10,"14,900","10,728",2002-04-18,엔에이치투자증권(주)(농협)
,,,~ 2002-03-26,~ 2002-04-03,,,,,
코스닥 상장추진,농우바이오,2002-02-14,   2002-03-05,   2002-03-11,2002-03-21,"6,800","29,240",2002-04-02,신한투자증권 주식회사
,,,~ 2002-03-05,~ 2002-03-12,,,,,
코스닥 상장추진,하츠,2002-01-13,   2003-01-20,   2003-01-27,2003-02-04,"3,800","10,534",2003-02-11,미래에셋증권(주)
,,,~ 2003-01-20,~ 2003-01-28,,,,,
코스닥 상장추진,케이엘넷,2002-01-11,   2002-02-18,   2002-02-18,2002-02-27,"10,000","7,250",2002-03-12,한화투자증권(주)
,,,~ 2002-02-18,~ 2002-02-19,,,,,
코스닥 상장추진,잉크테크,2002-01-09,   2002-01-30,   2002-02-06,2002-02-19,"4,600","9,660",2002-02-28,한국투자증권(주)
,,,~ 2002-01-30,~ 2002-02-07,,,,,
코스닥 상장추진,테라리소스,2002-01-04,   2001-11-28,   2001-12-10,2001-12-19,"4,200","4,620",2002-01-04,키움증권(주)
,,,~ 2001-11-28,~ 2001-12-11,,,,,
코스닥 상장추진,구영테크,2002-01-03,   2001-12-26,   2002-01-07,2002-01-24,"2,250","4,050",2002-02-07,아이엠투자증권(주)
,,,~ 2001-12-26,~ 2002-01-08,,,,,
코스닥 상장추진,팬스타엔터프라이즈,2001-12-28,   2001-12-07,   2001-12-11,2001-12-21,"3,900","6,864",2002-01-10,한화투자증권(주)
,,,~ 2001-12-07,~ 2001-12-12,,,,,
코스닥 상장추진,콜마파마,2001-12-27,   2002-01-14,   2002-01-24,2002-02-05,"5,000","5,000",2002-02-19,한화투자증권(주)
,,,~ 2002-01-14,~ 2002-01-25,,,,,
코스닥 상장추진,우수씨엔에스,2001-12-27,   2001-01-17,   2002-02-06,2002-02-19,"15,500","2,342",2002-02-28,한화투자증권(주)
,,,~ 2001-01-17,~ 2002-02-07,,,,,
코스닥 상장추진,현진소재,2001-12-26,   2002-01-11,   2002-01-07,2002-01-29,"3,200","7,040",2002-02-15,굿모닝2
,,,~ 2002-01-11,~ 2002-01-18,,,,,
코스닥 상장추진,엠넷미디어,2001-12-21,   2001-12-21,   2002-01-07,2002-01-17,"2,600","5,720",2002-01-29,엔에이치투자증권주식회사
,,,~ 2001-12-21,~ 2002-01-08,,,,,
코스닥 상장추진,대한뉴팜,2001-12-18,   2002-01-15,   2002-01-23,2002-02-07,"3,800","8,360",2002-02-26,아이엠투자증권(주)
,,,~ 2002-01-15,~ 2002-01-24,,,,,
코스닥 상장추진,인탑스,2001-12-15,   2002-01-16,   2002-01-29,2002-02-07,"7,600","19,760",2002-02-21,삼성증권(주)
,,,~ 2002-01-16,~ 2002-01-30,,,,,
코스닥 상장추진,한도하이테크,2001-12-14,   2002-01-17,   2002-01-28,2002-02-07,"4,600","7,912",2002-02-21,미래에셋증권(주)
,,,~ 2002-01-17,~ 2002-01-29,,,,,
코스닥 상장추진,한국기업평가,2001-12-14,   2001-01-08,   2002-01-15,2002-01-25,"14,000","19,880",2002-02-07,미래에셋증권(주)
,,,~ 2001-01-08,~ 2002-01-16,,,,,
코스닥 상장추진,씨티씨바이오,2001-12-14,   2002-01-17,   2002-01-28,2002-02-07,"5,300","4,603",2002-02-21,미래에셋증권(주)
,,,~ 2002-01-17,~ 2002-01-29,,,,,
코스닥 상장추진,비엔씨컴퍼니,2001-12-14,   2002-01-11,   2002-01-22,2002-02-02,"5,100","5,610",2002-02-19,엔에이치투자증권주식회사
,,,~ 2002-01-11,~ 2002-01-23,,,,,
코스닥 상장추진,백금T&A,2001-12-14,   2002-01-07,   2002-01-17,2002-01-25,"16,500","15,675",2002-02-05,엔에이치투자증권주식회사
,,,~ 2002-01-07,~ 2002-01-18,,,,,
코스닥 상장추진,뉴보텍,2001-12-14,   2002-01-18,   2002-01-17,2002-01-25,"3,000","3,564",2002-02-05,키움증권(주)
,,,~ 2002-01-18,~ 2002-01-18,,,,,
코스닥 상장추진,에스티아이,2001-12-13,   2002-01-18,   2002-01-31,2002-02-15,"17,500","3,675",2002-02-28,KB증권(주)
,,,~ 2002-01-18,~ 2002-02-01,,,,,
코스닥 상장추진,글로포스트,2001-12-13,   2002-01-12,   2002-01-23,2002-01-25,"3,100","4,960",2002-02-05,KB증권(주)
,,,~ 2002-01-12,~ 2002-01-24,,,,,
코스닥 상장추진,KT서브마린,2001-12-13,   2002-01-09,   2002-01-22,2002-01-31,"14,500","19,175",2002-02-15,삼성증권(주)
,,,~ 2002-01-09,~ 2002-01-23,,,,,
코스닥 상장추진,위다스,2001-12-12,   2001-12-17,   2001-12-27,2002-01-05,"2,100","6,972",2002-01-15,유안타증권(주)
,,,~ 2001-12-17,~ 2001-12-28,,,,,
코스닥 상장추진,파나케이아,2001-12-11,   2002-01-04,   2002-01-16,2002-01-25,"3,300","4,686",2002-02-05,한화투자증권(주)
,,,~ 2002-01-04,~ 2002-01-17,,,,,
코스닥 상장추진,유티엑스,2001-12-11,   2002-01-09,   2002-01-17,2002-01-25,"2,300","6,279",2002-02-07,하나증권주식회사
,,,~ 2002-01-09,~ 2002-01-18,,,,,
코스닥 상장추진,피씨디렉트,2001-12-10,   2002-01-09,   2002-01-22,2002-01-31,"4,000","3,432",2002-02-15,한국투자증권(주)
,,,~ 2002-01-09,~ 2002-01-23,,,,,
코스닥 상장추진,트래픽아이티에스,2001-12-10,   2001-12-12,   2001-12-20,2001-12-28,"3,000","3,660",2002-01-10,유안타증권(주)
,,,~ 2001-12-12,~ 2001-12-21,,,,,
코스닥 상장추진,고려신용정보,2001-12-10,   2001-12-27,   2002-01-09,2002-01-18,"6,000","2,580",2002-01-31,유진투자증권(주)
,,,~ 2001-12-27,~ 2002-01-10,,,,,
코스닥 상장추진,CJ엔터테인,2001-12-10,   2002-01-08,   2002-01-16,2002-01-25,"12,000","44,525",2002-02-05,신한투자증권 주식회사
,,,~ 2002-01-08,~ 2002-01-17,,,,,
코스닥 상장추진,태영텔스타,2001-12-06,   2002-01-08,   2002-01-09,2002-01-18,"4,800","14,400",2002-02-07,한국투자증권(주)
,,,~ 2002-01-08,~ 2002-01-10,,,,,
코스닥 상장추진,하우리,2001-12-04,   2001-12-26,   2001-12-26,2002-01-08,"2,800","10,164",2002-01-22,KB증권(주)
,,,~ 2001-12-26,~ 2001-12-27,,,,,
