시장구분,회사명,신고서제출일,수요예측일정,청약일정,납입일,확정공모가,공모금액(백만원),상장예정일,상장주선인/
,,,~ 2022-09-21,~ 2022-09-27,,,,,
코스닥 상장추진,한화플러스제3호스팩,2022-08-19,   2022-09-14,   2022-09-20,2022-09-23,"2,000","10,000",2022-09-29,한화투자증권㈜
,,,~ 2022-09-15,~ 2022-09-21,,,,,
코스닥 상장추진,플라즈맵,2022-08-19,   2022-10-05,   2022-10-12,2022-10-17,"7,000","12,397",2022-10-21,미래에셋증권 주식회사
,,,~ 2022-10-06,~ 2022-10-13,,,,,
코스닥 상장추진,선바이오,2022-08-19,   2022-09-16,   2022-09-22,2022-09-27,"11,000","6,776",2022-10-05,하나증권주식회사
,,,~ 2022-09-19,~ 2022-09-23,,,,,
코스닥 상장추진,엔에이치스팩24호,2022-08-18,   2022-10-04,   2022-10-11,2022-10-14,"2,000","8,600",2022-10-20,엔에이치투자증권주식회사
,,,~ 2022-10-05,~ 2022-10-12,,,,,
코스닥 상장추진,에스비비테크,2022-08-18,   2022-09-15,   2022-09-22,2022-09-27,"12,400","22,320",2022-10-04,미래에셋증권 주식회사
,,,~ 2022-09-16,~ 2022-09-23,,,,,
코스닥 상장추진,핀텔,2022-08-17,   2022-10-04,   2022-10-11,2022-10-14,"8,900","17,800",2022-10-20,대신증권㈜
,,,~ 2022-10-05,~ 2022-10-12,,,,,
코스닥 상장추진,이노룰스,2022-08-17,   2022-09-22,   2022-09-27,2022-09-30,"12,500","14,434",2022-10-07,엔에이치투자증권주식회사
,,,~ 2022-09-23,~ 2022-09-28,,,,,
코스닥 상장추진,유안타제10호스팩,2022-08-17,   2022-09-16,   2022-09-23,2022-09-28,"2,000","11,000",2022-10-06,유안타증권㈜
,,,~ 2022-09-19,~ 2022-09-26,,,,,
코스닥 상장추진,오픈엣지테크놀로지,2022-08-16,   2022-09-07,   2022-09-15,2022-09-20,"10,000","33,850",2022-09-26,삼성증권㈜
,,,~ 2022-09-08,~ 2022-09-16,,,,,
코스닥 상장추진,하나금융25호스팩,2022-08-12,   2022-10-04,   2022-10-11,2022-10-14,"10,000","40,000",2022-10-20,하나증권주식회사
,,,~ 2022-10-05,~ 2022-10-12,,,,,
코스닥 상장추진,샤페론,2022-08-12,   2022-09-29,   2022-10-06,2022-10-12,"5,000","13,735",2022-10-19,엔에이치투자증권주식회사
,,,~ 2022-09-30,~ 2022-10-07,,,,,
코스닥 상장추진,한국제11호스팩,2022-08-08,   2022-10-04,   2022-10-11,2022-10-14,"2,000","10,000",2022-10-20,한국투자증권㈜
,,,~ 2022-10-05,~ 2022-10-12,,,,,
코스닥 상장추진,케이비제22호스팩,2022-08-05,   2022-09-05,   2022-09-13,2022-09-16,"2,000","10,000",2022-09-22,KB증권㈜
,,,~ 2022-09-06,~ 2022-09-14,,,,,
유가증권 상장추진,KB스타리츠,2022-08-05,   2022-09-06,   2022-09-15,2022-09-20,"5,000","153,500",2022-10-06,KB증권㈜
,,,~ 2022-09-07,~ 2022-09-16,,,,,
코스닥 상장추진,하나금융24호스팩,2022-07-27,   2022-09-13,   2022-09-19,2022-09-22,"2,000","14,000",2022-09-29,하나증권주식회사
,,,~ 2022-09-14,~ 2022-09-20,,,,,
코스닥 상장추진,신영스팩8호,2022-07-19,   2022-08-10,   2022-08-16,2022-08-19,"2,000","12,500",2022-08-26,신영증권㈜
,,,~ 2022-08-11,~ 2022-08-17,,,,,
코스닥 상장추진,하나금융23호스팩,2022-07-15,   2022-08-26,   2022-09-01,2022-09-06,"2,000","9,000",2022-09-15,하나증권주식회사
,,,~ 2022-08-29,~ 2022-09-02,,,,,
코스닥 상장추진,키움제7호스팩,2022-07-11,   2022-08-23,   2022-08-29,2022-09-01,"2,000","8,000",2022-09-07,키움증권㈜
,,,~ 2022-08-24,~ 2022-08-30,,,,,
코스닥 상장추진,더블유씨피,2022-07-07,   2022-09-14,   2022-09-20,2022-09-23,"60,000","432,000",2022-09-30,"KB증권㈜,신한투자증권 주식회사"
,,,~ 2022-09-15,~ 2022-09-21,,,,,
코스닥 상장추진,IBKS제19호스팩,2022-07-04,   2022-08-09,   2022-08-16,2022-08-19,"2,000","9,500",2022-08-26,IBK투자증권㈜
,,,~ 2022-08-10,~ 2022-08-17,,,,,
코스닥 상장추진,에이치와이티씨,2022-06-29,   2022-07-21,   2022-07-28,2022-08-02,"15,000","33,900",2022-08-09,신영증권㈜
,,,~ 2022-07-22,~ 2022-07-29,,,,,
코스닥 상장추진,새빗켐,2022-06-28,   2022-07-20,   2022-07-26,2022-07-29,"35,000","37,450",2022-08-04,한국투자증권㈜
,,,~ 2022-07-21,~ 2022-07-27,,,,,
코스닥 상장추진,유안타제9호스팩,2022-06-27,   2022-07-19,   2022-07-25,2022-07-28,"2,000","10,000",2022-08-04,유안타증권㈜
,,,~ 2022-07-20,~ 2022-07-26,,,,,
유가증권 상장추진,쏘카,2022-06-24,   2022-08-04,   2022-08-10,2022-08-16,"28,000","101,920",2022-08-22,미래에셋증권 주식회사
,,,~ 2022-08-05,~ 2022-08-11,,,,,
코스닥 상장추진,대성하이텍,2022-06-24,   2022-08-04,   2022-08-09,2022-08-12,"9,000","29,903",2022-08-22,신한투자증권 주식회사
,,,~ 2022-08-05,~ 2022-08-10,,,,,
유가증권 상장추진,수산인더스트리,2022-06-22,   2022-07-14,   2022-07-20,2022-07-25,"35,000","200,025",2022-08-01,삼성증권㈜
,,,~ 2022-07-15,~ 2022-07-21,,,,,
코스닥 상장추진,아이씨에이치,2022-06-21,   2022-07-13,   2022-07-19,2022-07-22,"34,000","40,120",2022-07-29,삼성증권㈜
,,,~ 2022-07-14,~ 2022-07-20,,,,,
코스닥 상장추진,신한제10호스팩,2022-06-21,   2022-07-13,   2022-07-19,2022-07-22,"2,000","6,500",2022-07-29,신한투자증권 주식회사
,,,~ 2022-07-14,~ 2022-07-20,,,,,
코스닥 상장추진,에이프릴바이오,2022-06-20,   2022-07-13,   2022-07-19,2022-07-22,"16,000","20,736",2022-07-28,엔에이치투자증권주식회사
,,,~ 2022-07-14,~ 2022-07-20,,,,,
코스닥 상장추진,성일하이텍,2022-06-16,   2022-07-11,   2022-07-18,2022-07-21,"50,000","133,500",2022-07-28,"대신증권㈜,KB증권㈜"
,,,~ 2022-07-12,~ 2022-07-19,,,,,
코스닥 상장추진,루닛,2022-06-15,   2022-07-07,   2022-07-12,2022-07-15,"30,000","36,474",2022-07-21,엔에이치투자증권주식회사
,,,~ 2022-07-08,~ 2022-07-13,,,,,
코스닥 상장추진,HPSP,2022-06-03,   2022-06-29,   2022-07-06,2022-07-11,"25,000","75,000",2022-07-15,엔에이치투자증권주식회사
,,,~ 2022-06-30,~ 2022-07-07,,,,,
코스닥 상장추진,와이씨켐,2022-06-02,   2022-06-27,   2022-07-04,2022-07-07,"18,600","44,640",2022-07-14,하나증권주식회사
,,,~ 2022-06-28,~ 2022-07-05,,,,,
코스닥 상장추진,대신밸런스제12호스팩,2022-05-26,   2022-06-30,   2022-07-05,2022-07-08,"2,000","10,000",2022-07-14,대신증권㈜
,,,~ 2022-07-01,~ 2022-07-06,,,,,
코스닥 상장추진,삼성스팩6호,2022-05-23,   2022-06-16,   2022-06-21,2022-06-24,"2,000","10,000",2022-06-30,삼성증권㈜
,,,~ 2022-06-17,~ 2022-06-22,,,,,
코스닥 상장추진,넥스트칩,2022-05-23,   2022-06-16,   2022-06-21,2022-06-24,"13,000","33,800",2022-07-01,대신증권㈜
,,,~ 2022-06-17,~ 2022-06-22,,,,,
코스닥 상장추진,코난테크놀로지,2022-05-19,   2022-06-21,   2022-06-27,2022-06-30,"25,000","30,000",2022-07-07,한국투자증권㈜
,,,~ 2022-06-22,~ 2022-06-28,,,,,
코스닥 상장추진,엔에이치스팩23호,2022-05-18,   2022-06-13,   2022-06-16,2022-06-21,"2,000","12,300",2022-06-28,엔에이치투자증권주식회사
,,,~ 2022-06-14,~ 2022-06-17,,,,,
코스닥 상장추진,레이저쎌,2022-05-16,   2022-06-09,   2022-06-14,2022-06-17,"16,000","25,600",2022-06-24,삼성증권㈜
,,,~ 2022-06-10,~ 2022-06-15,,,,,
코스닥 상장추진,케이비제21호스팩,2022-05-13,   2022-06-08,   2022-06-14,2022-06-17,"2,000","15,000",2022-06-23,KB증권㈜
,,,~ 2022-06-09,~ 2022-06-15,,,,,
코스닥 상장추진,보로노이,2022-05-13,   2022-06-08,   2022-06-14,2022-06-17,"40,000","52,000",2022-06-24,"한국투자증권㈜,미래에셋증권 주식회사"
,,,~ 2022-06-09,~ 2022-06-15,,,,,
코스닥 상장추진,교보12호스팩,2022-05-12,   2022-06-08,   2022-06-14,2022-06-17,"2,000","11,500",2022-06-24,교보증권㈜
,,,~ 2022-06-09,~ 2022-06-15,,,,,
코스닥 상장추진,범한퓨얼셀,2022-05-10,   2022-06-02,   2022-06-08,2022-06-13,"40,000","85,440",2022-06-17,"엔에이치투자증권주식회사,한국투자증권㈜"
,,,~ 2022-06-03,~ 2022-06-09,,,,,
코스닥 상장추진,청담글로벌,2022-04-22,   2022-05-17,   2022-05-24,2022-05-27,"6,000","30,440",2022-06-03,"KB증권㈜,대신증권㈜"
,,,~ 2022-05-18,~ 2022-05-25,,,,,
코스닥 상장추진,위니아에이드,2022-04-22,   2022-06-09,   2022-06-14,2022-06-17,"16,200","86,931",2022-06-23,신한투자증권 주식회사
,,,~ 2022-06-10,~ 2022-06-15,,,,,
코스닥 상장추진,비플라이소프트,2022-04-20,   2022-06-02,   2022-06-09,2022-06-13,"10,000","8,000",2022-06-20,IBK투자증권㈜
