"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 11- 14","16,627.0","16,345.0","17,188.0","15,829.0","6.71K","1.73%"
"2022- 11- 13","16,345.0","16,812.0","16,956.0","16,257.0","2.54K","-2.78%"
"2022- 11- 12","16,812.0","17,045.0","17,105.0","16,637.0","1.25K","-1.37%"
"2022- 11- 11","17,045.0","17,579.0","17,665.0","16,403.0","8.03K","-3.04%"
"2022- 11- 10","17,579.0","15,907.0","18,155.0","15,760.0","20.73K","10.51%"
"2022- 11- 09","15,907.0","18,557.0","18,597.0","15,603.0","18.08K","-14.28%"
"2022- 11- 08","18,557.0","20,610.0","20,692.0","16,950.0","20.52K","-9.96%"
"2022- 11- 07","20,610.0","20,932.0","21,083.0","20,423.0","1.84K","-1.54%"
"2022- 11- 06","20,932.0","21,313.0","21,378.0","20,913.0","1.35K","-1.79%"
"2022- 11- 05","21,313.0","21,168.0","21,470.0","21,105.0","1.62K","0.68%"
"2022- 11- 04","21,168.0","20,223.0","21,290.0","20,206.0","3.81K","4.67%"
"2022- 11- 03","20,223.0","20,168.0","20,403.0","20,073.0","1.24K","0.27%"
"2022- 11- 02","20,168.0","20,500.0","20,816.0","20,080.0","2.58K","-1.62%"
"2022- 11- 01","20,500.0","20,509.0","20,689.0","20,357.0","1.67K","-0.04%"
"2022- 10- 31","20,509.0","20,647.0","20,843.0","20,268.0","1.71K","-0.67%"
"2022- 10- 30","20,647.0","20,833.0","20,949.0","20,535.0","1.09K","-0.89%"
"2022- 10- 29","20,833.0","20,611.0","21,074.0","20,576.0","1.83K","1.08%"
"2022- 10- 28","20,611.0","20,303.0","20,764.0","20,055.0","2.28K","1.52%"
"2022- 10- 27","20,303.0","20,788.0","20,892.0","20,226.0","2.75K","-2.33%"
"2022- 10- 26","20,788.0","20,104.0","21,011.0","20,077.0","3.90K","3.40%"
"2022- 10- 25","20,104.0","19,340.0","20,430.0","19,254.0","2.76K","3.95%"
"2022- 10- 24","19,340.0","19,585.0","19,601.0","19,175.0","1.31K","-1.25%"
"2022- 10- 23","19,585.0","19,219.0","19,707.0","19,105.0","1.52K","1.90%"
"2022- 10- 22","19,219.0","19,175.0","19,272.0","19,125.0","0.75K","0.23%"
"2022- 10- 21","19,175.0","19,057.0","19,260.0","18,680.0","1.19K","0.62%"
"2022- 10- 20","19,057.0","19,132.0","19,345.0","18,940.0","1.27K","-0.39%"
"2022- 10- 19","19,132.0","19,334.0","19,361.0","19,098.0","0.86K","-1.04%"
"2022- 10- 18","19,334.0","19,554.0","19,705.0","19,106.0","2.12K","-1.13%"
"2022- 10- 17","19,554.0","19,266.0","19,683.0","19,168.0","1.45K","1.48%"
"2022- 10- 16","19,269.0","19,072.0","19,428.0","19,068.0","0.78K","1.03%"
"2022- 10- 15","19,072.0","19,187.0","19,227.0","18,993.0","0.74K","-0.60%"
"2022- 10- 14","19,187.0","19,387.0","19,946.0","19,103.0","2.57K","-1.03%"
"2022- 10- 13","19,387.0","19,158.0","19,503.0","18,200.0","6.27K","1.20%"
"2022- 10- 12","19,158.0","19,062.0","19,232.0","19,026.0","3.49K","0.50%"
"2022- 10- 11","19,062.0","19,128.0","19,260.0","18,870.0","8.84K","-0.34%"
"2022- 10- 10","19,128.0","19,444.4","19,527.0","19,056.0","4.69K","-1.63%"
"2022- 10- 09","19,444.4","19,418.0","19,551.4","19,326.0","1.12K","0.14%"
"2022- 10- 08","19,418.0","19,533.0","19,621.4","19,275.0","1.23K","-0.59%"
"2022- 10- 07","19,533.0","19,957.0","20,053.0","19,336.0","7.68K","-2.12%"
"2022- 10- 06","19,957.0","20,156.0","20,444.0","19,866.0","6.43K","-0.99%"
"2022- 10- 05","20,156.0","20,340.0","20,363.0","19,756.8","6.99K","-0.90%"
"2022- 10- 04","20,340.0","19,638.0","20,470.0","19,510.0","8.47K","3.57%"
"2022- 10- 03","19,638.0","19,066.0","19,688.0","18,985.0","10.89K","3.00%"
"2022- 10- 02","19,066.0","19,317.0","19,396.0","18,945.0","3.16K","-1.30%"
"2022- 10- 01","19,317.0","19,430.0","19,485.0","19,172.0","0.94K","-0.58%"
"2022- 09- 30","19,430.0","19,588.0","20,171.0","19,201.0","11.70K","-0.81%"
"2022- 09- 29","19,588.0","19,419.0","19,651.3","18,863.0","8.40K","0.87%"
"2022- 09- 28","19,419.0","19,096.6","19,783.0","18,495.0","16.06K","1.69%"
"2022- 09- 27","19,096.6","19,229.5","20,373.0","18,856.0","14.96K","-0.69%"
"2022- 09- 26","19,229.5","18,817.0","19,326.0","18,699.0","43.75K","2.19%"
"2022- 09- 25","18,817.0","18,935.0","19,179.0","18,647.0","4.11K","-0.62%"
"2022- 09- 24","18,935.0","19,298.8","19,314.0","18,822.0","1.33K","-1.89%"
"2022- 09- 23","19,298.8","19,413.0","19,512.0","18,562.0","14.55K","-0.59%"
"2022- 09- 22","19,413.0","18,476.5","19,502.0","18,378.8","28.28K","5.07%"
"2022- 09- 21","18,476.5","18,886.6","19,888.0","18,214.0","17.62K","-2.17%"
"2022- 09- 20","18,886.6","19,544.5","19,634.0","18,769.0","9.67K","-3.37%"
"2022- 09- 19","19,544.5","19,424.0","19,684.0","18,318.0","11.97K","0.62%"
"2022- 09- 18","19,424.0","20,127.0","20,127.0","19,356.0","2.43K","-3.49%"
"2022- 09- 17","20,127.0","19,809.9","20,206.0","19,770.0","13.67K","1.60%"
"2022- 09- 16","19,809.9","19,717.0","19,894.0","19,350.0","6.95K","0.47%"
"2022- 09- 15","19,717.0","20,231.0","20,329.0","19,556.0","4.23K","-2.54%"
"2022- 09- 14","20,231.0","20,181.0","20,511.0","19,642.0","8.26K","0.25%"
"2022- 09- 13","20,181.0","22,395.0","22,746.0","19,950.0","16.06K","-9.89%"
"2022- 09- 12","22,395.0","21,850.0","22,473.0","21,561.0","7.84K","2.61%"
"2022- 09- 11","21,826.0","21,657.0","21,826.0","21,369.0","2.23K","0.82%"
"2022- 09- 10","21,648.0","21,375.0","21,802.0","21,143.8","5.36K","1.28%"
"2022- 09- 09","21,375.0","19,322.0","21,576.0","19,304.4","11.99K","10.63%"
"2022- 09- 08","19,322.0","19,280.0","19,447.0","19,048.0","8.22K","0.22%"
"2022- 09- 07","19,279.5","18,790.0","19,457.0","18,561.0","6.19K","2.61%"
"2022- 09- 06","18,790.0","19,789.0","20,183.0","18,691.8","12.12K","-5.04%"
"2022- 09- 05","19,788.0","20,002.0","20,045.0","19,646.0","2.25K","-1.07%"
"2022- 09- 04","20,002.0","19,835.0","20,020.0","19,590.0","2.04K","0.84%"
"2022- 09- 03","19,835.0","19,973.0","20,061.9","19,667.0","1.65K","-0.69%"
"2022- 09- 02","19,973.0","20,134.0","20,441.0","19,770.0","6.30K","-0.80%"
"2022- 09- 01","20,134.0","20,058.0","20,212.0","19,587.0","5.94K","0.38%"
"2022- 08- 31","20,058.0","19,812.0","20,483.0","19,812.0","4.64K","1.24%"
"2022- 08- 30","19,812.0","20,308.0","20,574.0","19,574.0","5.33K","-2.44%"
"2022- 08- 29","20,308.0","19,572.0","20,412.0","19,566.3","4.13K","3.84%"
"2022- 08- 28","19,557.8","20,044.0","20,163.0","19,540.0","3.23K","-2.39%"
"2022- 08- 27","20,036.0","20,257.9","20,362.0","19,852.0","2.55K","-1.10%"
"2022- 08- 26","20,257.9","21,563.1","21,866.0","20,134.0","11.23K","-6.05%"
"2022- 08- 25","21,563.1","21,365.6","21,809.0","21,320.0","3.22K","0.92%"
"2022- 08- 24","21,365.6","21,527.0","21,861.0","21,160.0","5.41K","-0.75%"
"2022- 08- 23","21,527.0","21,395.0","21,671.0","20,909.0","4.92K","0.62%"
"2022- 08- 22","21,395.0","21,511.7","21,527.0","20,910.0","3.44K","-0.53%"
"2022- 08- 21","21,510.0","21,141.0","21,772.9","21,076.6","2.31K","1.75%"
"2022- 08- 20","21,141.0","20,835.0","21,366.0","20,769.0","2.04K","1.45%"
"2022- 08- 19","20,839.0","23,196.7","23,204.0","20,793.0","9.53K","-10.16%"
"2022- 08- 18","23,196.7","23,335.0","23,599.0","23,124.0","3.02K","-0.59%"
"2022- 08- 17","23,335.0","23,856.0","24,433.0","23,180.0","6.13K","-2.18%"
"2022- 08- 16","23,856.0","24,094.0","24,234.1","23,686.0","2.77K","-0.99%"
"2022- 08- 15","24,094.0","24,300.0","25,203.0","23,776.0","8.93K","-0.85%"
"2022- 08- 14","24,300.0","24,425.0","25,003.0","24,151.0","2.74K","-0.51%"
"2022- 08- 13","24,425.0","24,395.2","24,880.0","24,307.0","4.05K","0.12%"
"2022- 08- 12","24,395.2","23,931.5","24,441.0","23,603.0","3.56K","1.94%"
"2022- 08- 11","23,931.5","23,954.2","24,877.0","23,861.0","5.88K","-0.09%"
"2022- 08- 10","23,954.2","23,142.0","24,215.0","22,665.0","8.78K","3.51%"
"2022- 08- 09","23,141.0","23,817.0","23,912.0","22,888.0","4.07K","-2.84%"
"2022- 08- 08","23,817.0","23,177.9","24,224.0","23,164.0","2.90K","2.76%"
"2022- 08- 07","23,177.9","22,924.0","23,397.0","22,837.0","2.15K","1.11%"
"2022- 08- 06","22,924.0","23,311.0","23,341.3","22,903.0","1.26K","-1.66%"
"2022- 08- 05","23,311.0","22,611.7","23,462.0","22,596.0","7.08K","3.09%"
"2022- 08- 04","22,611.7","22,813.9","23,210.1","22,390.0","4.60K","-0.89%"
"2022- 08- 03","22,813.9","22,986.0","23,626.6","22,684.0","4.75K","-0.74%"
"2022- 08- 02","22,984.0","23,259.0","23,438.9","22,676.0","4.22K","-1.18%"
"2022- 08- 01","23,259.0","23,294.0","23,499.0","22,882.0","5.57K","-0.15%"
"2022- 07- 31","23,294.0","23,639.0","24,211.0","23,233.0","3.15K","-1.46%"
"2022- 07- 30","23,639.0","23,764.0","24,641.0","23,520.0","4.30K","-0.53%"
"2022- 07- 29","23,764.0","23,851.6","24,426.0","23,456.0","5.03K","-0.37%"
"2022- 07- 28","23,851.6","22,951.0","24,172.0","22,601.0","6.63K","3.92%"
"2022- 07- 27","22,951.0","21,271.0","23,098.0","21,056.0","7.47K","7.90%"
"2022- 07- 26","21,271.0","21,302.6","21,329.0","20,738.0","4.43K","-0.15%"
"2022- 07- 25","21,302.6","22,579.2","22,663.3","21,262.0","4.42K","-5.65%"
"2022- 07- 24","22,579.2","22,446.0","23,001.0","22,262.0","2.34K","0.59%"
"2022- 07- 23","22,446.0","22,675.9","22,993.0","21,949.0","2.69K","-1.01%"
"2022- 07- 22","22,675.9","23,151.8","23,729.0","22,517.0","5.07K","-2.06%"
"2022- 07- 21","23,151.8","23,209.0","23,409.0","22,350.0","8.12K","-0.25%"
"2022- 07- 20","23,209.0","23,398.0","24,276.0","22,915.0","8.44K","-0.81%"
"2022- 07- 19","23,398.0","22,476.0","23,783.0","21,599.0","10.21K","4.10%"
"2022- 07- 18","22,476.0","20,781.0","22,749.0","20,763.0","8.52K","8.16%"
