시장구분,회사명,종목코드,신고서제출일,수요예측일정,청약일정,납입일,상장예정일,상장일,주관사,주요제품,상장유형,증권구분,업종_x,국적,공모금액(백만원),액면가 (원),공모가 (원),최초상장주식수 (주),상장일시가,공모가등락률,상장일종가,상장일등락률,1개월주가,1개월등락률,3개월주가,3개월등락률,6개월주가,6개월등락률,1년주가,1년등락률,report_year,매출액,영업이익,당기순이익
코스닥 상장추진,에이치와이티씨,148930,2022-06-29,2022-07-21,2022-07-28,2022-08-02,2022-08-09,2022-08-09,신영증권㈜,2차전지 장비 초정밀 부품,신규상장,주권,기타 금속 가공제품 제조업,대한민국,33900.0,500.0,15000.0,10075713.0,14700.0,-2.0,15850.0,5.7,16000.0,6.7,12950.0,-13.7,9800.0,-34.7,0.0,0.0,2022,32721979.0,6807423.0,6972737.0
코스닥 상장추진,새빗켐,107600,2022-06-28,2022-07-20,2022-07-26,2022-07-29,2022-08-04,2022-08-04,한국투자증권㈜,"폐전지재활용소재, 폐산재활용",신규상장,주권,기타 화학제품 제조업,대한민국,37450.0,500.0,35000.0,4754545.0,70000.0,100.0,72500.0,107.1,174200.0,397.7,119200.0,240.6,90100.0,157.4,0.0,0.0,2022,33388664.0,5540032.0,4422892.0
유가증권 상장추진,쏘카,403550,2022-06-24,2022-08-04,2022-08-10,2022-08-16,2022-08-22,2022-08-22,미래에셋증권 주식회사,"카셰어링, 모빌리티 플랫폼 등",신규상장,주권,운송장비 임대업,대한민국,101920.0,100.0,28000.0,32725652.0,28000.0,0.0,26300.0,-6.1,18550.0,-33.8,17550.0,-37.3,21000.0,-25.0,0.0,0.0,2022,284953806.0,-8423142.0,3660720.0
코스닥 상장추진,대성하이텍,129920,2022-06-24,2022-08-04,2022-08-09,2022-08-12,2022-08-22,2022-08-22,신한투자증권 주식회사,"정밀부품, 스위스턴 자동선반, 컴팩트 머시닝센터",신규상장,주권,특수 목적용 기계 제조업,대한민국,29903.0,100.0,9000.0,13278546.0,13000.0,0.0,14600.0,0.0,12100.0,0.0,9050.0,0.0,9400.0,0.0,0.0,0.0,2022,102716207.0,11691679.0,7457426.0
유가증권 상장추진,수산인더스트리,126720,2022-06-22,2022-07-14,2022-07-20,2022-07-25,2022-08-01,2022-08-01,삼성증권㈜,전력발전설비 정비 용역,신규상장,주권,건물설비 설치 공사업,대한민국,200025.0,200.0,35000.0,14286000.0,33000.0,-5.7,32500.0,-7.1,32450.0,-7.3,23100.0,-34.0,24850.0,-29.0,0.0,0.0,2022,202220778.0,35242803.0,52592318.0
코스닥 상장추진,아이씨에이치,368600,2022-06-21,2022-07-13,2022-07-19,2022-07-22,2022-07-29,2022-07-29,삼성증권㈜,스마트기기용 필름형 안테나,신규상장,주권,그외 기타 제품 제조업,대한민국,40120.0,500.0,34000.0,5664755.0,10205.0,-10.0,9004.0,-20.6,7987.0,-29.6,7287.0,-35.7,6750.0,-40.5,0.0,0.0,2022,23271487.0,1056560.0,1514619.0
코스닥 상장추진,에이프릴바이오,397030,2022-06-20,2022-07-13,2022-07-19,2022-07-22,2022-07-28,2022-07-28,엔에이치투자증권주식회사,항체의약품 및 재조합 단백질 의약품,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,20736.0,1000.0,16000.0,10514725.0,19500.0,21.9,21850.0,36.6,20400.0,27.5,11350.0,-29.1,17250.0,7.8,0.0,0.0,2022,23395944.0,4446348.0,-52713117.0
코스닥 상장추진,성일하이텍,365340,2022-06-16,2022-07-11,2022-07-18,2022-07-21,2022-07-28,2022-07-28,"대신증권㈜,KB증권㈜","코발트, 니켈, 리튬 등",신규상장,주권,기초 화학물질 제조업,대한민국,133500.0,500.0,50000.0,11613649.0,99900.0,99.8,88200.0,76.4,115100.0,130.2,124700.0,149.4,96800.0,93.6,0.0,0.0,2022,138486972.0,13660428.0,-10152208.0
코스닥 상장추진,루닛,328130,2022-06-15,2022-07-07,2022-07-12,2022-07-15,2022-07-21,2022-07-21,엔에이치투자증권주식회사,Lunit INSIGHT,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,36474.0,500.0,30000.0,10519873.0,30800.0,2.7,40000.0,33.3,39300.0,31.0,20700.0,-31.0,32400.0,8.0,0.0,0.0,2022,6638999.0,-45661474.0,-73637185.0
코스닥 상장추진,HPSP,403870,2022-06-03,2022-06-29,2022-07-06,2022-07-11,2022-07-15,2022-07-15,엔에이치투자증권주식회사,고압 수소 어닐링 장비,신규상장,주권,특수 목적용 기계 제조업,대한민국,75000.0,500.0,25000.0,19749715.0,12500.0,100.0,10813.0,73.0,14950.0,139.2,12850.0,105.6,13875.0,122.0,0.0,0.0,2022,91752312.0,45212381.0,35343560.0
코스닥 상장추진,넥스트칩,396270,2022-05-23,2022-06-16,2022-06-21,2022-06-24,2022-07-01,2022-07-01,대신증권㈜,"차량 및 자율주행차용 비메모리 반도체(ISP, AHD, ADAS/AD)",신규상장,주권,반도체 제조업,대한민국,33800.0,500.0,13000.0,17384240.0,17150.0,31.9,14300.0,10.0,12350.0,-5.0,13650.0,5.0,7670.0,-41.0,0.0,0.0,2022,24469249.0,-13472883.0,-21607666.0
코스닥 상장추진,코난테크놀로지,402030,2022-05-19,2022-06-21,2022-06-27,2022-06-30,2022-07-07,2022-07-07,한국투자증권㈜,"AI 기반 검색엔진(Konan Search), AI기반 영상인식 솔루션(D: Watcher)",신규상장,주권,소프트웨어 개발 및 공급업,대한민국,30000.0,500.0,25000.0,5680444.0,35300.0,41.2,30600.0,22.4,25850.0,3.4,25150.0,0.6,27350.0,9.4,0.0,0.0,2022,17849096.0,2240099.0,1893973.0
코스닥 상장추진,레이저쎌,412350,2022-05-16,2022-06-09,2022-06-14,2022-06-17,2022-06-24,2022-06-24,삼성증권㈜,"에어리어 레이저솔루션, LSR, LCB, LSB, BSOM 등",신규상장,주권,특수 목적용 기계 제조업,대한민국,25600.0,500.0,16000.0,8425772.0,20600.0,28.8,17350.0,8.4,13250.0,-17.2,8360.0,-47.8,7230.0,-54.8,0.0,0.0,2022,9682052.0,-796543.0,-8053718.0
코스닥 상장추진,보로노이,310210,2022-05-13,2022-06-08,2022-06-14,2022-06-17,2022-06-24,2022-06-24,"한국투자증권㈜,미래에셋증권 주식회사",표적치료제,신규상장,주권,기초 의약물질 및 생물학적 제제 제조업,대한민국,52000.0,500.0,40000.0,12638949.0,36000.0,0.0,29350.0,0.0,37700.0,0.0,30250.0,0.0,33400.0,0.0,0.0,0.0,2022,14773913.0,-8742412.0,-13485931.0
코스닥 상장추진,범한퓨얼셀,382900,2022-05-10,2022-06-02,2022-06-08,2022-06-13,2022-06-17,2022-06-17,"한국투자증권㈜,엔에이치투자증권주식회사","잠수함용 연료전지모듈, 건물용 연료전지 시스템, 수소충전소 구축",신규상장,주권,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",대한민국,85440.0,500.0,40000.0,8761000.0,41000.0,2.5,47950.0,19.9,28650.0,-28.4,33400.0,-16.5,26400.0,-34.0,0.0,0.0,2022,46074813.0,6165812.0,3283915.0
코스닥 상장추진,청담글로벌,362320,2022-04-22,2022-05-17,2022-05-24,2022-05-27,2022-06-03,2022-06-03,"대신증권㈜,KB증권㈜",글로벌 화장품 유통,신규상장,주권,생활용품 도매업,대한민국,30440.0,500.0,6000.0,20551290.0,6500.0,8.3,7640.0,27.3,11250.0,87.5,8660.0,44.3,8340.0,39.0,0.0,0.0,2022,135548008.0,9364858.0,5817840.0
코스닥 상장추진,위니아에이드,377460,2022-04-22,2022-06-09,2022-06-14,2022-06-17,2022-06-23,2022-06-23,신한투자증권 주식회사,"전자제품 소매, 물류주선, 서비스대행",신규상장,주권,기타 운송관련 서비스업,대한민국,86931.0,500.0,16200.0,15393405.0,14600.0,-9.9,11000.0,-32.1,9720.0,-40.0,7570.0,-53.3,6960.0,-57.0,0.0,0.0,2022,486454668.0,34435724.0,24919142.0
코스닥 상장추진,가온칩스,399720,2022-04-07,2022-05-02,2022-05-11,2022-05-16,2022-05-20,2022-05-20,대신증권㈜,설계 솔루션 및 주문형 반도체,신규상장,주권,반도체 제조업,대한민국,28000.0,500.0,14000.0,11488320.0,24150.0,72.5,27100.0,93.6,31000.0,121.4,27600.0,97.1,20350.0,45.4,0.0,0.0,2022,32235607.0,6202436.0,6182766.0
코스닥 상장추진,대명에너지,389260,2022-04-05,2022-04-27,2022-05-03,2022-05-09,2022-05-16,2022-05-16,"한국투자증권㈜,삼성증권㈜",신재생에너지 발전 공사 및 용역,신규상장,주권,건물 건설업,대한민국,37500.0,100.0,15000.0,17000000.0,15450.0,3.0,13950.0,-7.0,17650.0,17.7,18650.0,24.3,21550.0,43.7,0.0,0.0,2022,147391029.0,48515481.0,35585117.0
