(단위 : 천원),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
회사명,종목코드,상장일,매출액(수익),,,,,영업이익,,,,,당기순이익,,,,
,,,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년
키움제7호스팩,433530,2022-09-07,0,0,0,0,0,0,0,0,"-21,506",0,0,0,0,"26,394",0
IBKS제19호스팩,426550,2022-08-26,0,0,0,0,0,0,0,0,"-29,100",0,0,0,0,"-24,887",0
신영스팩8호,430220,2022-08-26,0,0,0,0,0,0,0,0,"-33,339",0,0,0,0,"64,314",0
쏘카,403550,2022-08-22,"256,671,600","217,752,754","284,953,806","375,330,069",0,"-71,599,704","-3,805,723","-8,423,142","6,214,360",0,"-88,199,227","-67,744,719","3,660,720","-7,715,905",0
대성하이텍,129920,2022-08-22,"73,141,352","72,653,221","102,716,207","112,612,357",0,"5,169,880","-7,303,639","11,691,679","11,119,242",0,"3,099,913","-7,902,737","7,457,426","2,004,973",0
에이치와이티씨,148930,2022-08-09,"19,815,246","21,306,042","32,721,979","31,727,017",0,"2,878,027","3,823,591","6,807,423","2,598,006",0,"2,515,772","3,261,039","6,972,737","2,925,458",0
새빗켐,107600,2022-08-04,"15,544,561","20,967,013","33,388,664","48,126,171",0,"1,561,734","2,612,284","5,540,032","10,199,488",0,"921,392","2,131,203","4,422,892","7,701,035",0
유안타제9호스팩,430700,2022-08-04,0,0,0,0,0,0,0,0,"-33,652",0,0,0,0,"48,745",0
수산인더스트리,126720,2022-08-01,"180,764,987","174,160,141","202,220,778","205,171,983",0,"27,758,722","23,509,782","35,242,803","38,829,652",0,"31,246,316","25,135,413","52,592,318","40,180,007",0
신한제10호스팩,418210,2022-07-29,0,0,0,0,0,0,0,0,"-34,264",0,0,0,0,"13,743",0
아이씨에이치,368600,2022-07-29,"16,127,222","16,407,923","23,271,487","12,925,481",0,"5,376,614","2,821,718","1,056,560","-7,905,324",0,"1,930,556","916,916","1,514,619","-7,319,566",0
성일하이텍,365340,2022-07-28,"46,268,324","60,502,903","138,486,972","232,314,246",0,"-10,376,458","-6,355,173","13,660,428","42,847,425",0,"-12,378,337","-2,192,897","-10,152,208","36,264,828",0
에이프릴바이오,397030,2022-07-28,"150,000",0,"23,395,944","200,000",0,"-2,921,856","-9,187,557","4,446,348","-11,474,307",0,"-4,822,919","-10,220,055","-52,713,117","-8,959,275",0
퓨쳐메디신,341170,2022-07-27,0,0,"1,000,000",0,0,0,"-5,900,817","-6,499,483","-7,578,444",0,0,"-10,502,185","-12,891,378","-6,999,528",0
벨로크,424760,2022-07-22,0,0,0,0,0,0,0,0,"-81,803",0,0,0,0,"-27,849",0
